reac.ksy path	literal	fact it restates	bound (ratcheted) before this PR	bound after this PR
types/commit_report_page/seq/3/repeat-expr	12	PORTS_TABLE_SLOTS	PORTS_TABLE_SLOTS	PORTS_TABLE_SLOTS
types/commit_report_page/instances/declared_in_channels/value	(cells[0].to_i == 2 ? 4 : 0) + (cells[1].to_i == 2 ? 4 : 0) + (cells[2	PORT_SLOT_IN, PORTS_CH_PER_SLOT	no	no
types/commit_report_page/instances/declared_out_channels/value	(cells[0].to_i == 1 ? 4 : 0) + (cells[1].to_i == 1 ? 4 : 0) + (cells[2	PORT_SLOT_OUT, PORTS_CH_PER_SLOT	no	no
types/enroll_group_map/seq/3/repeat-expr	5	ENROLL_GROUPS	ENROLL_GROUPS	ENROLL_GROUPS
types/enroll_group_map/seq/4/repeat-expr	5	ENROLL_GROUPS	no	no
types/enroll_group_map/instances/group_bytes/pos	3	DERIVED:ENROLL_IN_GROUPS_OFF - SUB_0103_OFF	no	no
types/enroll_group_map/instances/group_bytes/size	10	DERIVED:2 * ENROLL_GROUPS	no	no
types/enroll_group_map/instances/enrolled_in_channels/value	(input_groups[0] == 0x41 ? 8 : 0) + (input_groups[1] == 0x41 ? 8 : 0) 	ENROLL_GROUP_CHANNELS	no	ENROLL_GROUP_CHANNELS
types/container_0403/instances/subtype/pos	0	SUB_0403_OFF	SUB_0403_OFF	SUB_0403_OFF
types/identity_data/instances/request_size/value	payload[0]	index, not a fact	no	no
types/identity_data/instances/firmware_version/value	payload[0] * 1000 + payload[1] * 100 + payload[2] * 10 + payload[3]	IDENTITY_FIRMWARE_BYTES (digit weights 1000/100/10/1)	no	no
types/identity_data/instances/firmware_version/if	is_reply and addr_lo == identity_addr::firmware_version and payload.si	IDENTITY_FIRMWARE_BYTES	no	IDENTITY_FIRMWARE_BYTES
types/identity_data/instances/reac_version_reserved/value	payload[0] * 256 + payload[1]	IDENTITY_REAC_VERSION_BYTES	no	no
types/identity_data/instances/reac_version_reserved/if	is_reply and addr_lo == identity_addr::reac_version and payload.size >	IDENTITY_REAC_VERSION_BYTES	no	no
types/identity_data/instances/reac_version_major/value	payload[2] * 256 + payload[3]	IDENTITY_REAC_VERSION_BYTES	no	no
types/identity_data/instances/reac_version_major/if	is_reply and addr_lo == identity_addr::reac_version and payload.size >	IDENTITY_REAC_VERSION_BYTES	no	IDENTITY_REAC_VERSION_BYTES
types/identity_data/instances/reac_version_minor/value	payload[4] * 256 + payload[5]	IDENTITY_REAC_VERSION_BYTES	no	no
types/identity_data/instances/reac_version_minor/if	is_reply and addr_lo == identity_addr::reac_version and payload.size >	IDENTITY_REAC_VERSION_BYTES	no	no
types/identity_data/instances/reac_version_patch/value	payload[6] * 256 + payload[7]	IDENTITY_REAC_VERSION_BYTES	no	no
types/identity_data/instances/reac_version_patch/if	is_reply and addr_lo == identity_addr::reac_version and payload.size >	IDENTITY_REAC_VERSION_BYTES	no	no
types/record_fragment/seq/0/contents	00 02 00 fe	DT1_WRAPPER	no	no
types/box_return_block/seq/0/contents	02 00 fe	DT1_WRAPPER tail / SUB_0403_BOX_RETURN	no	no
types/dt1_record/seq/0/contents	00 02 00 fe	DT1_WRAPPER	no	DT1_WRAPPER
types/dt1_record/seq/2/contents	f0	SYSEX_START	no	SYSEX_START
types/dt1_record/seq/3/contents	41	ROLAND_ID	no	ROLAND_ID
types/dt1_record/seq/5/size	3	DT1_MODEL_ID_BYTES	no	DT1_MODEL_ID_BYTES
types/dt1_record/seq/10/contents	f7	SYSEX_END	no	SYSEX_END
types/dt1_record/instances/record_len/value	_parent._parent.rec_len - 0x0d	DT1_RECORD_OVERHEAD	no	DT1_RECORD_OVERHEAD
types/dt1_record/instances/data_len/value	_parent._parent.rec_len - 0x10	DT1_DATA_OVERHEAD	no	DT1_DATA_OVERHEAD
types/audio_region/seq/0/repeat-expr	12	SAMPLES_PER_PKT	no	no
types/time_sample/seq/0/size	6	DERIVED:BRAID_PAIR_CHANNELS * RESOLUTION	no	no
types/time_sample/seq/0/repeat-expr	_parent._parent.num_channels / 2	BRAID_PAIR_CHANNELS	no	BRAID_PAIR_CHANNELS
enums/frame_type/0x0	0	TYPE_FILLER	TYPE_FILLER	TYPE_FILLER
enums/frame_type/0xcdea	52714	TYPE_CONTROL	TYPE_CONTROL	TYPE_CONTROL
enums/frame_type/0xcfea	53226	TYPE_ANNOUNCE	TYPE_ANNOUNCE	TYPE_ANNOUNCE
enums/reac_link/0x1	1	LINK_CONTROL	no	LINK_CONTROL
enums/reac_link/0x2	2	LINK_AUX_S4000S	no	LINK_AUX_S4000S
enums/reac_link/0x4	4	LINK_RECORD	no	LINK_RECORD
enums/reac_link/0xff	255	LINK_ANNOUNCE	no	LINK_ANNOUNCE
enums/seg_state/0x0	0	SEG_MIDDLE	no	SEG_MIDDLE
enums/seg_state/0x1	1	SEG_FIRST_BIT	no	SEG_FIRST_BIT
enums/seg_state/0x2	2	SEG_LAST_BIT	no	SEG_LAST_BIT
enums/seg_state/0x3	3	SEG_SINGLE	no	SEG_SINGLE
enums/link1_opcode/0x0	0	SUB_0103_SCENE	no	SUB_0103_SCENE
enums/link1_opcode/0x1	1	SUB_0103_SLOT_MAP	no	SUB_0103_SLOT_MAP
enums/link1_opcode/0x10	16	SUB_0103_ENROLL_GROUP_MAP	no	SUB_0103_ENROLL_GROUP_MAP
enums/link1_opcode/0x80	128	SUB_0103_DECLARATION_ALT	no	SUB_0103_DECLARATION_ALT
enums/link1_opcode/0x81	129	SUB_0103_LINK_ACK	no	SUB_0103_LINK_ACK
enums/link1_opcode/0x82	130	SUB_0103_COMMIT_REPORT	no	SUB_0103_COMMIT_REPORT
enums/link1_opcode/0x84	132	SUB_0103_COMMIT_REPORT_84	no	SUB_0103_COMMIT_REPORT_84
enums/control_op/0x100	256	OP_SCENE_CHUNK	OP_SCENE_CHUNK	OP_SCENE_CHUNK
enums/control_op/0x101	257	OP_SCENE_HEADER	OP_SCENE_HEADER	OP_SCENE_HEADER
enums/control_op/0x102	258	OP_SCENE_FINAL	OP_SCENE_FINAL	OP_SCENE_FINAL
enums/control_op/0x103	259	OP_PAGE_0103	OP_PAGE_0103	OP_PAGE_0103
enums/control_op/0x401	1025	OP_DT1_FIRST_FRAGMENT	OP_DT1_FIRST_FRAGMENT	OP_DT1_FIRST_FRAGMENT
enums/control_op/0x402	1026	OP_DT1_LAST_FRAGMENT	OP_DT1_LAST_FRAGMENT	OP_DT1_LAST_FRAGMENT
enums/control_op/0x403	1027	OP_DT1_CONTAINER	OP_DT1_CONTAINER	OP_DT1_CONTAINER
enums/control_op/0xffff	65535	OP_ANNOUNCE	OP_ANNOUNCE	OP_ANNOUNCE
enums/page_kind/0x0	0	parser-internal enum (not a wire value)	no	no
enums/page_kind/0x1	1	parser-internal enum (not a wire value)	no	no
enums/page_kind/0x2	2	parser-internal enum (not a wire value)	no	no
enums/page_kind/0x3	3	parser-internal enum (not a wire value)	no	no
enums/page_kind/0x4	4	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0x0	0	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0x1	1	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0x2	2	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0x3	3	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0x4	4	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0x5	5	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0x6	6	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0x7	7	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0x8	8	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0x9	9	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0xa	10	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0xb	11	parser-internal enum (not a wire value)	no	no
enums/ctrl_kind/0xc	12	parser-internal enum (not a wire value)	no	no
enums/dt_command/0x11	17	DT_CMD_RQ1	no	DT_CMD_RQ1
enums/dt_command/0x12	18	DT_CMD_DT1	no	DT_CMD_DT1
enums/identity_addr/0x0	0	IDENTITY_ADDR_FIRMWARE_VERSION	no	IDENTITY_ADDR_FIRMWARE_VERSION
enums/identity_addr/0x600	1536	IDENTITY_ADDR_REAC_VERSION	no	IDENTITY_ADDR_REAC_VERSION
enums/identity_addr/0x1000	4096	IDENTITY_ADDR_MODEL_NAME	no	IDENTITY_ADDR_MODEL_NAME
enums/identity_addr/0x1011	4113	IDENTITY_ADDR_MODEL_NAME_EXT	no	IDENTITY_ADDR_MODEL_NAME_EXT
enums/identity_addr/0x1100	4352	IDENTITY_ADDR_MODEL_NAME_SLOT_B	no	IDENTITY_ADDR_MODEL_NAME_SLOT_B
enums/identity_addr/0x1111	4369	IDENTITY_ADDR_MODEL_NAME_SLOT_B_EXT	no	IDENTITY_ADDR_MODEL_NAME_SLOT_B_EXT
enums/reg_page/0x0	0	DT1_TAG_HEAD_MARK	DT1_TAG_HEAD_MARK	DT1_TAG_HEAD_MARK
enums/reg_page/0x100	256	DT1_TAG_JOIN_GRANT	DT1_TAG_JOIN_GRANT	DT1_TAG_JOIN_GRANT
enums/reg_page/0x101	257	DT1_TAG_HEAD_AMP	DT1_TAG_HEAD_AMP	DT1_TAG_HEAD_AMP
enums/reg_page/0x302	770	DT1_TAG_BOX_READY	DT1_TAG_BOX_READY	DT1_TAG_BOX_READY
enums/reg_page/0x500	1280	DT1_TAG_IDENTITY	DT1_TAG_IDENTITY	DT1_TAG_IDENTITY
enums/head_amp_param/0x0	0	HEADAMP_PARAM_PHANTOM	no	HEADAMP_PARAM_PHANTOM
enums/head_amp_param/0x1	1	HEADAMP_PARAM_PAD	no	HEADAMP_PARAM_PAD
enums/head_amp_param/0x2	2	HEADAMP_PARAM_SENS	no	HEADAMP_PARAM_SENS
enums/inventory_cell/0x0	0	PORT_SLOT_IN_SPLIT	PORT_SLOT_IN_SPLIT	PORT_SLOT_IN_SPLIT
enums/inventory_cell/0x1	1	PORT_SLOT_OUT	PORT_SLOT_OUT	PORT_SLOT_OUT
enums/inventory_cell/0x2	2	PORT_SLOT_IN	PORT_SLOT_IN	PORT_SLOT_IN
enums/inventory_cell/0x3	3	PORT_SLOT_EMPTY	PORT_SLOT_EMPTY	PORT_SLOT_EMPTY
