repo	file:line	literal	fact restated (YAML name | NEW:proposed | DERIVED:expr)	declared before this PR	note
reac-pw	tests/box-0832-enrols.sh:81	--rate 96000	NEW:RATE_96K=96000	no	rate CLI arg (same in many netns scripts)
reac-pw	tests/box-0832-enrols.sh:132	"S-4000S-0832 (8 in / 32 out)"	NEW:MODEL_S4000H_0832_IN=8/OUT=32	no	split chassis widths; PORT_SLOT_IN_SPLIT evidence
reac-pw	tests/box-0832-enrols.sh:152	"S-4000S-3208 (32 in / 8 out)"	NEW:MODEL_S4000S_IN=32/OUT=8	no	S-4000S widths
reac-pw	tests/box-declares-its-row.sh:69	socket.htons(0x8819)	ETHERTYPE	yes	embedded python sniffer binds EtherType literal
reac-pw	tests/box-declares-its-row.sh:92	f[18:50]	CTRL_BLOCK_OFF..CTRL_BLOCK_END	yes	control block slice by hand
reac-pw	tests/box-declares-its-row.sh:94	f[16:18] == b'\xcd\xea'	TYPED_BLOCK_OFF / TYPE_CONTROL	yes	type word offset and cdea literal
reac-pw	tests/box-declares-its-row.sh:97	blk[0] == 0x04 and blk[16:18] == b'\x05\x00'	LINK_RECORD / DT1_TAG_IDENTITY	yes	DT1 tag offset 16 in block is not a fact
reac-pw	tests/box-declares-its-row.sh:98	addr = blk[18:20]	NEW:DT1_ADDR_LO_OFF_IN_BLOCK=18	no	addr_lo position (IDENTITY_ADDR_LO_BYTES=2 wide)
reac-pw	tests/box-declares-its-row.sh:99	blk[1] == 0x03 and addr == b'\x00\x00'	SEG_SINGLE / IDENTITY_ADDR_FIRMWARE_VERSION	yes	
reac-pw	tests/box-declares-its-row.sh:100	fw = blk[20:24]	NEW:DT1_PAYLOAD_OFF_IN_BLOCK=20 ; NEW:IDENTITY_FIRMWARE_VERSION_BYTES=4	no	YAML prose says 4 bytes, no numeric fact
reac-pw	tests/box-declares-its-row.sh:101	addr == b'\x06\x00'	IDENTITY_ADDR_REAC_VERSION	yes	0x0600 as raw bytes
reac-pw	tests/box-declares-its-row.sh:102	ver = blk[20:28]	NEW:IDENTITY_REAC_VERSION_BYTES=8	no	YAML prose says 8 bytes four u16be
reac-pw	tests/box-declares-its-row.sh:105	blk[0] == 0x04 and blk[1] == 0x02	LINK_RECORD / SEG_LAST_BIT (OP_DT1_LAST_FRAGMENT)	yes	
reac-pw	tests/box-declares-its-row.sh:112	announce[8:20] ... == 0x02) * 4	PORTS_TABLE_OFF, PORTS_TABLE_SLOTS, PORT_SLOT_IN, PORTS_CH_PER_SLOT	yes	port table decoded by hand
reac-pw	tests/box-declares-its-row.sh:113	announce[8:20] ... == 0x01) * 4	PORT_SLOT_OUT / PORTS_CH_PER_SLOT	yes	
reac-pw	tests/box-declares-its-row.sh:114	announce[4]	SUB_0103_OFF	yes	selector byte offset
reac-pw	tests/box-declares-its-row.sh:115	announce[7]	HEADAMP_BASE_FROM_CONFIG_BYTE7 (offset 7)	yes	strap byte offset
reac-pw	tests/box-declares-its-row.sh:118	sum(announce) % 256	CTRL_BLOCK_SUM	yes	block checksum rule restated
reac-pw	tests/box-declares-its-row.sh:125	name_first[21:31]	NEW:IDENTITY_NAME_FIRST_FRAG_OFF=21	no	model-name bytes in 0x0401 fragment; IDENTITY_ADDR_MODEL_NAME prose
reac-pw	tests/box-declares-its-row.sh:127	name_last[9:15]	NEW:IDENTITY_NAME_LAST_FRAG_OFF=9	no	model-name tail in 0x0402 fragment
reac-pw	tests/box-declares-its-row.sh:252	arm A s1608 bxa0 8	NEW:MODEL_S1608_OUT_CH=8	no	box width arg
reac-pw	tests/box-declares-its-row.sh:274	"16"	NEW:MODEL_S1608_IN_CH=16	no	expected declared inputs of S-1608
reac-pw	tests/box-declares-its-row.sh:275	"8"	NEW:MODEL_S1608_OUT_CH=8	no	expected declared outputs of S-1608
reac-pw	tests/box-declares-its-row.sh:276	"0x82"	SUB_0103_COMMIT_REPORT	yes	S-1608 selector expectation
reac-pw	tests/box-declares-its-row.sh:277	"2"	NEW:MODEL_S1608_HEADAMP_STRAP=2	no	S-1608 strap (base 0x20); YAML PLACEMENT row in_ch=16 base=0x20
reac-pw	tests/box-declares-its-row.sh:278	"0"	CTRL_BLOCK_SUM	yes	blocksum expectation
reac-pw	tests/box-declares-its-row.sh:285	"40"	MAX_CHANNELS	yes	experiment row 40 inputs
reac-pw	tests/box-declares-its-row.sh:315	"16/8"	NEW:MODEL_S1608_IN_CH/OUT_CH	no	roster width expectation
reac-pw	tests/box-declares-its-row.sh:316	"40/0"	MAX_CHANNELS	yes	roster width expectation
reac-pw	tests/box-is-not-re-decided.sh:81	00:40:ab:c4:dc:a2	NEW:ROLAND_OUI=00:40:ab	no	fixture MAC carries Roland OUI (fixture data)
reac-pw	tests/box-is-not-re-decided.sh:82	"$FAKE" ngnp0 "$BOXMAC" 8	NEW:MODEL_S0808_CH=8	no	fake box width 8 = S-0808
reac-pw	tests/box-master-rejoins.sh:119	00:40:ab:c4:dc:9c	NEW:ROLAND_OUI=00:40:ab	no	fixture MAC (fixture data)
reac-pw	tests/box-master-rejoins.sh:122	"$FAKE" rbox0 "$BOXMAC" 8	NEW:MODEL_S0808_CH=8	no	fake box width
reac-pw	tests/box-master-rejoins.sh:165	"S-0808 (8 in / 8 out)"*"8 ch"	NEW:MODEL_S0808_CH=8	no	model width string expectation
reac-pw	tests/box-master-slave-join.sh:189	00:40:ab:c4:08:bc	NEW:ROLAND_OUI=00:40:ab	no	fixture MACs (also 529, 569) (fixture data)
reac-pw	tests/box-master-slave-join.sh:192	"$FAKE" mbx0 "$BOXMAC" 8	NEW:MODEL_S0808_CH=8	no	fake box width
reac-pw	tests/box-master-slave-join.sh:224	WANT_LEN=1492	FRAME_BYTES	yes	downstream length expectation
reac-pw	tests/box-master-slave-join.sh:225	WANT_LEN=340	DERIVED:FRAME_OVERHEAD+8*BYTES_PER_CHANNEL	derived	8-ch box frame length
reac-pw	tests/box-master-slave-join.sh:292	selector 0x80 at offset 6	SUB_0103_DECLARATION_ALT / DERIVED:TYPED offset 6 = SUB_0103_OFF+2	yes	message text restating fact
reac-pw	tests/box-master-slave-join.sh:341	0x52	NEW:FILLER_DESC_REQUESTING=0x52	no	message; slave filler REQUESTING byte (fake_box_master.c:163 comment, 0.5.6-10)
reac-pw	tests/box-master-slave-join.sh:362	[ "$NPORT" = "8" ]	NEW:MODEL_S0808_CH=8	no	playback door width expectation
reac-pw	tests/box-master-slave-join.sh:411	"$WANT_LEN" = "340"	DERIVED:FRAME_OVERHEAD+8*BYTES_PER_CHANNEL	derived	
reac-pw	tests/box-master-slave-join.sh:529	"$FAKE" mbx1 ... 16	NEW:MODEL_S1608_IN_CH=16	no	fake 16-in box
reac-pw	tests/box-master-slave-join.sh:547	[ "$NP16" = "8" ]	NEW:MODEL_S1608_OUT_CH=8	no	S-1608 has eight outputs
reac-pw	tests/box-master-slave-join.sh:569	"$FAKE" mbx2 ... 8	NEW:MODEL_S0808_CH=8	no	fake box width
reac-pw	tests/box-wakes-on-a-phy-edge.sh:99	--rate 96000	NEW:RATE_96K=96000	no	rate CLI arg
reac-pw	tests/courtship-backs-off.sh:40	FPS=3675	NEW:PKT_RATE_44K1=3675	no	44.1k packet rate; YAML evidence m200-enrol-441k measures 3675 fps
reac-pw	tests/courtship-backs-off.sh:42	00:40:ab:9f:9e:be	NEW:ROLAND_OUI=00:40:ab	no	fixture MAC (fixture data)
reac-pw	tests/courtship-backs-off.sh:68	44100	NEW:RATE_44K1=44100	no	slave sample rate arg
reac-pw	tests/courtship-backs-off.sh:109	b <= 7.0 (1.486 s flood + 4 s budget)	DERIVED:(impl flood 5460 frames / PKT_RATE_44K1)	derived	flood length at 3675 fps; budget is implementation
reac-pw	tests/courtship-backs-off.sh:115	s > 7.148	NEW:M200_SESSION_HOLD_S=7.148	no	measured M-200 session hold the slave backoff must outlast
reac-pw	tests/courtship_probe.c:72	htons(0x8819)	ETHERTYPE	yes	also 125, 132, 140
reac-pw	tests/courtship_probe.c:96	enum { N_CH = 40 }	MAX_CHANNELS	yes	desk width re-declared
reac-pw	tests/courtship_probe.c:99	{ 0x00, 0x40, 0xab, 0xc9, 0xcc, 0x03 }	NEW:ROLAND_OUI=00:40:ab	no	M-200i MAC (fixture data)
reac-pw	tests/courtship_probe.c:112	.out_channels = 8	NEW:MODEL_S1608_OUT_CH=8	no	console cfg outputs
reac-pw	tests/courtship_probe.c:176	rn < 14	DERIVED:HDR_COUNTER_OFF (eth header len 14)	derived	minimum frame = ethernet header
reac-pw	tests/courtship_probe.c:198	memcpy(f + 16, ann.announce_blk, ...)	TYPED_BLOCK_OFF	yes	
reac-pw	tests/courtship_probe.c:240	reac_ring_init(&ring, 16, 8192)	NEW:MODEL_S1608_IN_CH=16	no	ring width
reac-pw	tests/courtship_probe.c:248	cfg.box_channels = 16	NEW:MODEL_S1608_IN_CH=16	no	
reac-pw	tests/declared-vlan-waits-for-its-tag.sh:130	00:40:ab:c4:11:21 8	NEW:ROLAND_OUI / MODEL_S0808_CH=8	no	fixture MAC + width (fixture data)
reac-pw	tests/empty-master-yields-the-budget.sh:237	(16 ch)	NEW:MODEL_S1608_IN_CH=16	no	expected heard width
reac-pw	tests/etf-late-is-the-wake.sh:85	--rate 96000	NEW:RATE_96K=96000	no	rate CLI arg
reac-pw	tests/etf-late-is-the-wake.sh:130	--fps 8000	NEW:PKT_RATE_96K=8000	no	96k packet rate
reac-pw	tests/etf-late-is-the-wake.sh:131	rate_hz=96000	NEW:RATE_96K=96000	no	grep expectation
reac-pw	tests/etf-late-is-the-wake.sh:197	'17 slots = 2125 us at 8000 fps'	NEW:PKT_RATE_96K=8000	no	expectation string (125 us period)
reac-pw	tests/etf-late-is-the-wake.sh:199	'8 slots = 1000 us at 8000 fps'	NEW:PKT_RATE_96K=8000	no	expectation string
reac-pw	tests/etf-qdisc-owned.sh:120	--rate 96000	NEW:RATE_96K=96000	no	rate CLI arg
reac-pw	tests/etf_wire_probe.c:47	#define REAC_ETHERTYPE 0x8819	ETHERTYPE	yes	hand-written copy of the fact macro
reac-pw	tests/etf_wire_probe.c:104	n < 14	DERIVED:HDR_COUNTER_OFF	derived	ethernet header length
reac-pw	tests/etf_wire_probe.c:107	(buf[12] << 8) | buf[13]	NEW:ETHERTYPE_OFF=12	no	EtherType offset (Ethernet, implied by L2_HEADER_LEN breakdown)
reac-pw	tests/fake_box_master.c:92	uint8_t announce_blk[34]	TYPED_BLOCK_LEN	yes	also 93, 108, 116
reac-pw	tests/fake_box_master.c:163	for (int i = 18; i < 50; i++)	CTRL_BLOCK_OFF..CTRL_BLOCK_END	yes	
reac-pw	tests/fake_box_master.c:169	f[19] == 0x52	NEW:FILLER_DESC_REQUESTING=0x52 ; f[19]=CTRL_BLOCK_OFF+HDR_SEG_OFF	no	comment 0.5.6-10: slave filler 0x52 until grant, 0x7a after
reac-pw	tests/fake_box_master.c:171	f[19] != 0x52	NEW:FILLER_DESC_REQUESTING=0x52	no	
reac-pw	tests/fake_box_master.c:181	memcpy(e->announce_seen, f + 16, ...)	TYPED_BLOCK_OFF	yes	also 329, 332, 644, 657, 673
reac-pw	tests/fake_box_master.c:192	f[16 + 6] == 0x80	DERIVED:TYPED_BLOCK_OFF+2+SUB_0103_OFF / SUB_0103_DECLARATION_ALT	derived	selector check
reac-pw	tests/fake_box_master.c:193	f[6]==0x00 && f[7]==0x40 && f[8]==0xab	NEW:ROLAND_OUI=00:40:ab	no	OUI gate in emulator; comment: gear a box has enrolled
reac-pw	tests/fake_box_master.c:195	for (int i = 11; i < 22; i++) ... f[16 + 10]	DERIVED:TYPED_BLOCK_OFF+2+PORTS_TABLE_OFF (+PORTS_TABLE_SLOTS)	derived	port table at typed[10:22]
reac-pw	tests/fake_box_master.c:213	memcmp(e->grant_q[i], f + 16, 34)	TYPED_BLOCK_OFF / TYPED_BLOCK_LEN	yes	also 216, 673
reac-pw	tests/fake_box_master.c:242	n < 14 || f[12] != 0x88 || f[13] != 0x19	ETHERTYPE	yes	EtherType as two bytes
reac-pw	tests/fake_box_master.c:269	* 3	RESOLUTION	yes	also 314
reac-pw	tests/fake_box_master.c:481	htons(0x8819)	ETHERTYPE	yes	also 497, 526, 534
reac-pw	tests/fake_box_master.c:583	.out_channels = 8	NEW:MODEL_S1608_OUT_CH=8	no	
reac-pw	tests/fake_box_master.c:586	ann.announce_blk[17] = (uint8_t)n_ch	NEW:ANNOUNCE_WIDTH_OFF=17 (typed)	no	cfea width byte; conformance checks 0x28 there
reac-pw	tests/fake_box_master.c:618	n_ch > 8 ? n_ch : 8	NEW:MODEL_S0808_CH=8	no	also 708
reac-pw	tests/fake_box_master.c:642	{ 0xcd, 0xea, 0x01, 0x00, 0x00, 0x1a }	TYPE_CONTROL / OP_SCENE_CHUNK / SCENE_CHUNK_BYTES	yes	hand-built scene chunk header
reac-pw	tests/fake_box_master.c:645	memset(f + 22, 0, 28)	DERIVED:CTRL_BLOCK_OFF+HDR_OPCODE_OFF ; CTRL_BLOCK_END-22	derived	
reac-pw	tests/fake_box_master.c:659	b[21] = granted > 0 ? 0x01 : 0x00	NEW:ANNOUNCE_ENROLLED_OFF=21 (typed)	no	enrolled-box count in cfea; m200-enrol-441k-2026-09-13/analysis.md
reac-pw	tests/fake_box_master.c:685	reac_ctrl_stamp_headamp(f, 0x20, 0, 1)	DERIVED:2*HEADAMP_BASE_MULTIPLIER / HEADAMP_PARAM_PHANTOM	derived	S-1608 head-amp base 0x20
reac-pw	tests/graph-state-follows-segment-state.sh:134	--rate 96000	NEW:RATE_96K=96000	no	rate CLI arg
reac-pw	tests/graph-survives-a-pipewire-restart.sh:94	--rate 96000	NEW:RATE_96K=96000	no	rate CLI arg
reac-pw	tests/headamp-refusal-is-visible.sh:161	"55"	HEADAMP_SENS_MAX	yes	sens.max expectation
reac-pw	tests/hearing-finds-a-segment.sh:268	--rate 96000	NEW:RATE_96K=96000	no	rate CLI arg (also 382, 565, 717)
reac-pw	tests/hearing-finds-a-segment.sh:269	00:40:ab:de:5c:01	NEW:ROLAND_OUI=00:40:ab	no	fixture MACs throughout file (fixture data)
reac-pw	tests/hearing-finds-a-segment.sh:351	--box-channels 16	NEW:MODEL_S1608_IN_CH=16	no	also 465, 493, 534, 642
reac-pw	tests/hearing-finds-a-segment.sh:398	"16x8"	NEW:MODEL_S1608_IN_CH/OUT_CH	no	also 443
reac-pw	tests/hearing-finds-a-segment.sh:829	"$FAKE" mbox0 "$BOXMAC" 8	NEW:MODEL_S0808_CH=8	no	also 963, 1127, 1129
reac-pw	tests/hearing-finds-a-segment.sh:858	"S-0808 (8 in / 8 out)"*"8 ch"	NEW:MODEL_S0808_CH=8	no	also 1232
reac-pw	tests/hearing-finds-a-segment.sh:880	"8x8"	NEW:MODEL_S0808_CH=8	no	
reac-pw	tests/hearing-finds-a-segment.sh:1056	(40 ch)	MAX_CHANNELS	yes	master downstream width in grep
reac-pw	tests/hearing-finds-a-segment.sh:1128	"$FAKE" tbox0.12 "$TBOX12" 16	NEW:MODEL_S1608_IN_CH=16	no	
reac-pw	tests/hearing-finds-a-segment.sh:1236	"S-1608 (16 in / 8 out)"*"16 ch"	NEW:MODEL_S1608_IN_CH/OUT_CH	no	
reac-pw	tests/iface-vanish-exits.sh:41	--rate 96000	NEW:RATE_96K=96000	no	rate CLI arg
reac-pw	tests/link-up-reestablishes.sh:47	--rate 96000	NEW:RATE_96K=96000	no	rate CLI arg
reac-pw	tests/master-gone-is-re-decided.sh:84	00:40:ab:c4:dc:a1 ... 8	NEW:ROLAND_OUI / MODEL_S0808_CH=8	no	fixture MAC + width (fixture data)
reac-pw	tests/no-box-no-node.sh:93	--rate 96000	NEW:RATE_96K=96000	no	rate CLI arg
reac-pw	tests/reac_conformance_golden.inc:44	uint8_t cfea_idle[34]	TYPED_BLOCK_LEN	yes	also 45, 46; array bytes 50-58 are captured cfea (fixture data)
reac-pw	tests/reac_conformance_golden.inc:63	#define CONF_MAC_IDX 11	NEW:ANNOUNCE_MAC_OFF=11 (typed)	no	master MAC in cfea frame[16:50]
reac-pw	tests/reac_grant_golden.inc:26	GOLD_S1608_SWEEP[56][34]	DERIVED:16*HEADAMP_SWEEP_RECORDS_PER_CH+8 / TYPED_BLOCK_LEN	derived	array bytes captured matrix-m200-s1608-2026-07-11 (fixture data)
reac-pw	tests/reac_grant_golden.inc:86	GOLD_S1608_CELLS[48][3]	SLOT_SPACE / CHANMAP_REC_BYTES	yes	fixture data
reac-pw	tests/reac_m200_golden.inc:14	#define GOLD_CHANMAP_WINDOWS 49	CHANMAP_RING_LEN	yes	hand copy of fact
reac-pw	tests/reac_m200_golden.inc:15	GOLD_CHANMAP_SWEEP[...][34]	TYPED_BLOCK_LEN	yes	array bytes captured M-200i (fixture data); also 72
reac-pw	tests/reac_m200_golden.inc:71	#define GOLD_PROBE_VARIANTS 10	DERIVED:SCENE_SLOT_BYTES (period-10 probe rotation)	derived	YAML SCENE_SLOT_BYTES prose
reac-pw	tests/reac_m300_golden.inc:27	M300_CHANMAP_FE[34]	TYPED_BLOCK_LEN	yes	also 40 M300_CFEA[34]; bytes are fixture data
reac-pw	tests/reac_m300_golden.inc:45	#define M300_CFEA_MAC_IDX 11	NEW:ANNOUNCE_MAC_OFF=11 (typed)	no	duplicate of CONF_MAC_IDX
reac-pw	tests/reac_m300_golden.inc:46	#define M300_CFEA_CKSUM_IDX 33	DERIVED:CTRL_CKSUM_OFF-TYPED_BLOCK_OFF	derived	
reac-pw	tests/reac_s4000_golden.inc:48	uint8_t head[50]	L2_HEADER_LEN	yes	header bytes are captured (fixture data)
reac-pw	tests/reac_s4000_golden.inc:56	.len = 1494	DERIVED:FRAME_BYTES+OHRCA_TRAILER_BYTES	derived	also 63, 70, 77, 93, 100, 129
reac-pw	tests/reac_s4000_golden.inc:84	.len = 342	DERIVED:FRAME_OVERHEAD+8*BYTES_PER_CHANNEL+OHRCA_TRAILER	derived	also 153
reac-pw	tests/reac_s4000_golden.inc:107	.len = 1206	DERIVED:FRAME_OVERHEAD+32*BYTES_PER_CHANNEL+OHRCA_TRAILER	derived	also 114, 121, 137, 144
reac-pw	tests/tap-sends-nothing.sh:40	FPS=4000	NEW:PKT_RATE_48K=4000	no	48k packet rate
reac-pw	tests/tap-sends-nothing.sh:88	48000	NEW:RATE_48K=48000	no	slave rate arg
reac-pw	tests/tap-sends-nothing.sh:126	[ "$RATE" -eq 48000 ]	NEW:RATE_48K=48000 (DERIVED:PKT_RATE_48K*SAMPLES_PER_PKT)	no	tap measured rate expectation
reac-pw	tests/test_reac_arbitration.c:23	{ 0x00, 0x40, 0xab, ... }	NEW:ROLAND_OUI=00:40:ab	no	fixture MACs (fixture data)
reac-pw	tests/test_reac_arbitration.c:140	1204	DERIVED:FRAME_OVERHEAD+32*BYTES_PER_CHANNEL	derived	32-ch upstream length
reac-pw	tests/test_reac_arbitration.c:141	628	DERIVED:FRAME_OVERHEAD+16*BYTES_PER_CHANNEL	derived	
reac-pw	tests/test_reac_arbitration.c:142	340	DERIVED:FRAME_OVERHEAD+8*BYTES_PER_CHANNEL	derived	
reac-pw	tests/test_reac_arbitration.c:144	reac_frame_channels(1204) == 32	DERIVED:(1204-FRAME_OVERHEAD)/BYTES_PER_CHANNEL	derived	
reac-pw	tests/test_reac_arbitration.c:145	reac_frame_channels(628) == 16	DERIVED	derived	
reac-pw	tests/test_reac_arbitration.c:146	reac_frame_channels(340) == 8	DERIVED	derived	
reac-pw	tests/test_reac_arbitration.c:147	reac_frame_channels(REAC_FRAME_BYTES) == 40	MAX_CHANNELS	yes	
reac-pw	tests/test_reac_arbitration.c:156	reac_rival_kind_from_channels(40)	MAX_CHANNELS	yes	desk width
reac-pw	tests/test_reac_arbitration.c:157	32 / 16 / 8	NEW:MODEL_S4000S_IN=32, S1608_IN=16, S0808=8	no	lines 157-159 box widths
reac-pw	tests/test_reac_arbitration.c:193	t.e[0].channels = 8	NEW:MODEL_S0808_CH=8	no	also 197
reac-pw	tests/test_reac_boxreg.c:12	{ 0x00,0x40,0xab, ... }	NEW:ROLAND_OUI=00:40:ab	no	fixture MACs (fixture data)
reac-pw	tests/test_reac_boxreg.c:21	reac_boxreg_init(&r, 40)	MAX_CHANNELS	yes	also 22, 47, 57, 79
reac-pw	tests/test_reac_boxreg.c:23	reac_boxreg_add(&r, A, 16)	NEW:MODEL_S1608_IN_CH=16	no	also 32, 48, 52, 58, 64
reac-pw	tests/test_reac_boxreg.c:25	reac_boxreg_add(&r, B, 8)	NEW:MODEL_S0808_CH=8	no	also 27, 49, 61, 67, 82
reac-pw	tests/test_reac_boxreg.c:26	base == 16	DERIVED:MODEL_S1608_IN_CH	derived	packed base
reac-pw	tests/test_reac_boxreg.c:28	base == 24	DERIVED:16+8 (also HEADAMP_SENS_STAGE_BREAK_2 coincidence)	derived	also 61, 62, 68
reac-pw	tests/test_reac_boxreg.c:43	reac_boxreg_add(&r, D, 42) == -1	DERIVED:>MAX_CHANNELS	derived	
reac-pw	tests/test_reac_boxreg.c:83	placed == 5	DERIVED:MAX_CHANNELS/8 = ENROLL_GROUPS	derived	five 8-ch boxes fill the fabric
reac-pw	tests/test_reac_box_badge.c:84	{ 0x00, 0x40, 0xab, 0xc4, 0x80, 0x3b }	NEW:ROLAND_OUI=00:40:ab	no	fixture MAC (fixture data)
reac-pw	tests/test_reac_box_badge.c:126	p.fps = 8000	NEW:PKT_RATE_96K=8000	no	also 129
reac-pw	tests/test_reac_box_badge.c:128	reac_frame_ring_init(&p.ring, 8, 2048)	NEW:MODEL_S0808_CH=8	no	
reac-pw	tests/test_reac_box_badge.c:139	build_upstream_filler(..., 16, NULL, 12)	NEW:MODEL_S1608_IN_CH=16 / SAMPLES_PER_PKT	no	12 = SAMPLES_PER_PKT literal; also 147, 195
reac-pw	tests/test_reac_box_badge.c:163	build_config_announce(..., 16)	NEW:MODEL_S1608_IN_CH=16	no	also 181, 203
reac-pw	tests/test_reac_box_badge.c:182	bf[22] = 0x00	DERIVED:CTRL_BLOCK_OFF+SUB_0103_OFF	derived	clears heartbeat subtype byte
reac-pw	tests/test_reac_box_identity.c:71	{ 0x00, 0x40, 0xab, 0xc4, 0x80, 0x3b }	NEW:ROLAND_OUI=00:40:ab	no	fixture MAC (fixture data)
reac-pw	tests/test_reac_box_identity.c:82	fr[12] = 0x88; fr[13] = 0x19	ETHERTYPE	yes	
reac-pw	tests/test_reac_box_identity.c:83	fr[16] = 0xcd; fr[17] = 0xea	TYPED_BLOCK_OFF / TYPE_CONTROL	yes	
reac-pw	tests/test_reac_box_identity.c:85	13 + n	NEW:DT1_SYSEX_OVERHEAD=13	no	SysEx bytes around payload; comment f0 41 0a 00 00 12 12 tag addr ... f7
reac-pw	tests/test_reac_box_identity.c:86	b[0] = 0x04; b[1] = 0x03; b[3] = sx + 5	LINK_RECORD / SEG_SINGLE / DERIVED:CTRL_RECLEN_BASE+1	yes	
reac-pw	tests/test_reac_box_identity.c:87	b[5] = 0x02; b[7] = 0xfe	NEW:DT1_CONTAINER_HDR bytes (0x02 at [5], 0xfe at [7])	no	container prefix before SysEx
reac-pw	tests/test_reac_box_identity.c:88	b[9]=0xf0; b[10]=0x41; b[11]=0x0a; b[14]=0x12; b[15]=0x12	NEW:SYSEX_START=0xf0, ROLAND_ID=0x41, DEVICE_ID=0x0a, DT1_CMD=0x12	no	Roland DT1 framing; comment line 73
reac-pw	tests/test_reac_box_identity.c:89	b[16] = 0x05; b[17] = 0x00	DT1_TAG_IDENTITY ; NEW:DT1_TAG_OFF_IN_BLOCK=16	yes	
reac-pw	tests/test_reac_box_identity.c:90	b[18] ... b[19]	NEW:DT1_ADDR_LO_OFF_IN_BLOCK=18	no	
reac-pw	tests/test_reac_box_identity.c:92	b[20 + i]	NEW:DT1_PAYLOAD_OFF_IN_BLOCK=20	no	
reac-pw	tests/test_reac_box_identity.c:93	0x7f ... 0xf7	NEW:SYSEX_EOX=0xf7	no	
