repo	file:line	literal	fact restated (YAML name | NEW:proposed | DERIVED:expr)	declared before this PR	note
libreac	include/reac/reac_ctrlblk.h:837	0	HEADAMP_GRAN_PHANTOM_SHIFT	yes	hand-written copy
libreac	include/reac/reac_ctrlblk.h:838	3	HEADAMP_BANK_SHIFT	yes	copy as REAC_HEADAMP_GRAN_READBACK_SHIFT
libreac	include/reac/reac_ctrlblk.h:857	3	HEADAMP_SWEEP_RECORDS_PER_CH	yes	copy as REAC_HEADAMP_NPARAMS
libreac	include/reac/reac_ctrlblk.h:859	6	NEW:GRANT_GROUPB_RECORDS	no	six fixed RQ1 identity-poll records in grant sweep (marker 12 11, TAG 05 00)
libreac	include/reac/reac_ctrlblk.h:860	(8 + (w) * 3)	DERIVED:2+NEW:GRANT_GROUPB_RECORDS+HEADAMP_SWEEP_RECORDS_PER_CH*w	derived	ack+mark+6 groupB + 3/ch; 3 bypasses NPARAMS
libreac	include/reac/reac_ctrlblk.h:862	sweep[][34]	TYPED_BLOCK_LEN	yes	array dim literal
libreac	include/reac/reac_disco.h:71	5ULL	DERIVED:NEW:BOX_HEARTBEAT_PERIOD_S(1)	derived	box heartbeat 1/s; 5 s stale is policy
libreac	include/reac/reac_fsm.h:35	600	NEW:BOX_LINKCHECK_RELOAD=0x0258	no	S-1608 firmware link-check frames; duplicate of reac_master.h:148
libreac	include/reac/reac_fsm.h:41	800	NEW?:TXMUTE_DWELL	no	placeholder pending rig capture; ~100ms@8000
libreac	include/reac/reac_fsm.h:49	5460	NEW:BOX_FLOOD_BURST_FRAMES=5459	no	byte-verified 2026-07-11 §13p.3, 1.36 s @48k
libreac	include/reac/reac_fsm.h:55	800	NEW:BOX_JOIN_RETRY_MS=100	no	box's documented ~100 ms cold-connect grid (frames at 8000 fps)
libreac	include/reac/reac_fsm.h:69	7200	DERIVED:9*JOIN_RETRY_PERIOD	derived	8-phase escalation +1
libreac	include/reac/reac_fsm.h:85	4	NEW?:COLDCONNECT_BUDGET_S	no	derived from M-200 7.148 s session hold (m200-master-441k)
libreac	include/reac/reac_fsm.h:86	10	NEW:MASTER_SESSION_HOLD_S~7.1 (backoff > hold)	no	m200-master-441k 2026-09-11
libreac	include/reac/reac_grant.h:55	32	NEW:MAX_BOX_INPUTS=32 (S-4000S width)	no	widest enrollable box; tied to S-4000S model
libreac	include/reac/reac_grant.h:60	(8 + (w) * 3)	DERIVED:2+NEW:GRANT_GROUPB_RECORDS+HEADAMP_SWEEP_RECORDS_PER_CH*w	derived	DUPLICATE macro of reac_ctrlblk.h:860
libreac	include/reac/reac_grant.h:104	sweep[][34]	TYPED_BLOCK_LEN	yes	array dim
libreac	include/reac/reac_headamp_tx.h:66	12	NEW:GRANT_STRIDE_SLOTS	no	duplicate of REAC_M_GRANT_STRIDE (reac_master.h:161)
libreac	include/reac/reac_hunt.h:79	3ULL	DERIVED:3*NEW:ANNOUNCE_PERIOD_S(1)	derived	three cfea cadences (master announces 1/s)
libreac	include/reac/reac_identity.h:72	0x0500u	DT1_TAG_IDENTITY	yes	second hand-written copy (also REAC_DT1_TAG_IDENTITY in reac_ctrlblk.h:115)
libreac	include/reac/reac_identity.h:75	0x0000u	IDENTITY_ADDR_FIRMWARE_VERSION	yes	copy as REAC_IDENTITY_ADDR_FIRMWARE
libreac	include/reac/reac_identity.h:76	0x0600u	IDENTITY_ADDR_REAC_VERSION	yes	hand-written copy
libreac	include/reac/reac_identity.h:77	0x1000u	IDENTITY_ADDR_MODEL_NAME	yes	hand-written copy
libreac	include/reac/reac_identity.h:80	17u	DERIVED:IDENTITY_NAME_FIELD_BYTES+1	derived	16-byte name + NUL
libreac	include/reac/reac_identity.h:82	8u	NEW:IDENTITY_REAC_VERSION_BYTES=8	no	four u16be at 0x0600; YAML prose on IDENTITY_ADDR_REAC_VERSION
libreac	include/reac/reac_knock.h:85	500ULL	DERIVED:NEW:PKT_RATE_44K1	derived	justified by 3675 fps worst-case slot; policy
libreac	include/reac/reac_link.h:62	0x00	NEW:FILLER_DESC_NONE	no	upstream filler descriptor before announce; wire 2026-09-09
libreac	include/reac/reac_link.h:63	0x52	NEW:FILLER_DESC_REQUESTING	no	S-0808 sent 0x52 between announce and grant (2026-09-09); reac.ksy unnamed
libreac	include/reac/reac_link.h:64	0x7a	NEW:FILLER_DESC_ESTABLISHED	no	granted box filler descriptor; same value as DESC_WORD_LO in ctrl*.c
libreac	include/reac/reac_master.h:148	600	NEW:BOX_LINKCHECK_RELOAD=0x0258	no	S-1608 firmware constant 0x0258 frames (doc only)
libreac	include/reac/reac_master.h:149	65	NEW:MASTER_LINK_HOLD_S=6.5	no	M-200i measured hold 2026-07-11
libreac	include/reac/reac_master.h:151	600	NEW:BOX_LINKCHECK_RELOAD	no	reused for presence decay
libreac	include/reac/reac_master.h:158	500	NEW:SCENE_BURST_CHUNKS_PER_SEC	no	M-300/S-1608 at 4000 fps; M-200 at 3675
libreac	include/reac/reac_master.h:161	12	NEW:GRANT_STRIDE_SLOTS	no	transcribed real burst @8000 fps
libreac	include/reac/reac_master.h:167	16	NEW:ENROLL_GRANT_DWELL_S=1.6	no	matrix-m200-s0808/s1608 2026-07-11; YAML SUB_0103_ENROLL_GROUP_MAP prose "~1.6 s"
libreac	include/reac/reac_master.h:224	8, 0	NEW:ANNOUNCE_IDLE_WIDTH=8 / NEW:PACE_CODE_48K	no	idle cfea width 0x08 (M-200 compare 2026-07-11)
libreac	include/reac/reac_master.h:303	[34]	TYPED_BLOCK_LEN	yes	array dims (also 356,423,459,463)
libreac	include/reac/reac_master.h:379	[32]	CTRL_BLOCK_LEN	yes	array dims (also 427, 552)
libreac	include/reac/reac_ports.h:89	8	PORTS_TABLE_OFF	yes	hand-written copy
libreac	include/reac/reac_ports.h:90	12	PORTS_TABLE_SLOTS	yes	hand-written copy
libreac	include/reac/reac_ports.h:91	4	PORTS_CH_PER_SLOT	yes	hand-written copy
libreac	include/reac/reac_ports.h:93	0x01	PORT_SLOT_OUT	yes	hand-written copy
libreac	include/reac/reac_ports.h:94	0x02	PORT_SLOT_IN	yes	hand-written copy
libreac	include/reac/reac_ports.h:95	0x03	PORT_SLOT_EMPTY	yes	hand-written copy
libreac	include/reac/reac_ports.h:96	0x00	PORT_SLOT_IN_SPLIT	yes	hand-written copy
libreac	include/reac/reac_ports.h:158	7	NEW:HEADAMP_BASE_OFF=7	no	config-announce strap byte offset; YAML encodes it only in the name HEADAMP_BASE_FROM_CONFIG_BYTE7
libreac	include/reac/reac_ports.h:162	0x10	HEADAMP_BASE_MULTIPLIER	yes	hand-written copy
libreac	include/reac/reac_ports.h:166	1	HEADAMP_BASE_FROM_CONFIG_BYTE7	yes	hand-written copy
libreac	include/reac/reac_ports.h:167	1	HEADAMP_BASE_IS_CHASSIS_NOT_GRANT	yes	hand-written copy
libreac	include/reac/reac_ports.h:178	8	HEADAMP_APPLY_UNIT_SLOTS	yes	hand-written copy (= HEADAMP_APPLY_GROUP_CHANNELS/HEADAMP_BANK_CHANNELS)
libreac	include/reac/reac_sample.h:29	<<8, <<16, 0x00800000	NEW:SAMPLE_FORMAT_S24LE	no	24-bit signed little-endian sample; width=RESOLUTION
libreac	include/reac/reac_slots.h:53	40	MAX_CHANNELS	yes	second hand-written copy as REAC_AUDIO_FABRIC_SLOTS
libreac	include/reac/reac_slots.h:54	- 1	DERIVED:MAX_CHANNELS-1	derived	audio ceiling 39
libreac	include/reac/reac_slots.h:60	48	SLOT_SPACE / HEADAMP_CH_SPAN	yes	third copy of 48 (also REAC_HEADAMP_MAX_CH)
libreac	include/reac/reac_slots.h:65	+ 1	CHANMAP_RING_LEN	yes	restates derived SLOT_SPACE+1 =49
libreac	include/reac/transport/reac_pacer.h:226	blk[32]	CTRL_BLOCK_LEN	yes	array dim literal
libreac	include/reac/transport/reac_pacer.h:247	3675 / 4000 / 8000	NEW:PKT_RATE_44K1/48K/96K	no	comment only
libreac	include/reac/transport/reac_pace_watch.h:45	5000000ull	DERIVED:NEW:PKT_RATE_48K (250 us spacing x20)	derived	policy; comment cites 3675/4000
libreac	include/reac/transport/reac_rx.h:148	1560	DERIVED:FRAME_BYTES+64 (rounded)	derived	buffer sized from frame bytes by literal
libreac	include/reac/transport/reac_segment_ident.h:88	25	DERIVED:5 s/200 ms poll	derived	policy, mirrors disco stale
libreac	include/reac/transport/reac_slave.h:56	16	NEW:MODEL_S1608 in_ch	no	default box width = S-1608 (628 B frames)
libreac	include/reac/transport/reac_tap.h:60	9	DERIVED:1+REAC_DISCO_MAX	derived	implementation cap
libreac	packaging/vendor/reac-pw-headers/reac_rate_cfg.h:68	REAC_RATE_BIT_44100 / _48000 / _96000	NEW:REAC_RATE_{44K1,48K,96K}	no	closed rate set in macro names (bits, lines 68-70)
libreac	python/libreac/__init__.py:132	16	DERIVED:HDR_COUNTER_OFF+2	derived	min length for counter (message restates bytes 14..15)
libreac	python/libreac/__init__.py:270	ctypes.c_uint8 * 32	CTRL_BLOCK_LEN	yes	config_block field size in ctypes struct
libreac	python/test_libreac.py:18	0040ab000001	NEW:REAC_ROLAND_OUI	no	test master MAC (also BOX :19 0040abc4803b)
libreac	python/test_libreac.py:35	3675 / 44100	DERIVED:NEW:REAC_RATE_44K1/SAMPLES_PER_PKT	no	rate_snap expectation
libreac	python/test_libreac.py:36	4000 / 48000	DERIVED:NEW:REAC_RATE_48K/SAMPLES_PER_PKT	no	rate_snap expectation
libreac	python/test_libreac.py:37	8000 / 96000	DERIVED:NEW:REAC_RATE_96K/SAMPLES_PER_PKT	no	rate_snap expectation
libreac	python/test_libreac.py:42	3837/3838/5999/6001	DERIVED:midpoints of packet rates	no	snap thresholds 3837.5 and 6000 (lines 42-45)
libreac	python/test_libreac.py:50	1494 / 1492	FRAME_BYTES (+2 FCS residue)	yes	40 ch downstream; also :54
libreac	python/test_libreac.py:51	1206 / 1204	DERIVED:FRAME_OVERHEAD+32*BYTES_PER_CHANNEL	derived	32 ch S-4000 return; also :55
libreac	python/test_libreac.py:52	342 / 340	DERIVED:FRAME_OVERHEAD+8*BYTES_PER_CHANNEL	derived	8 ch S-0808 return; also :56
libreac	python/test_libreac.py:80	0x20, 0x2F	PLACEMENT(in_ch=16 base);DERIVED:HEADAMP_CH_SPAN-1	yes	channel probes
libreac	python/test_libreac.py:92	-10	DERIVED:HEADAMP_SENS_REF_CDB/100	derived	sens_db(0)
libreac	python/test_libreac.py:93	55 / -65	HEADAMP_SENS_MAX;DERIVED:(SENS_REF_CDB-55*SENS_STEP_CDB)/100	derived	sens_db(55)
libreac	python/test_libreac.py:94	range(0, 55)	HEADAMP_SENS_MAX	yes	step loop
libreac	python/test_libreac.py:96	-1	DERIVED:-HEADAMP_SENS_STEP_CDB/100	derived	1 dB per step
libreac	python/test_libreac.py:154	[8, 16, 32]	PLACEMENT(in_ch)	yes	box widths S-0808/S-1608/S-4000S
libreac	python/test_libreac.py:176	52 + width * 36	FRAME_OVERHEAD;BYTES_PER_CHANNEL	yes	frame length formula restated
libreac	python/test_libreac.py:199	0x00, 0x20, 0x2F	PLACEMENT base;DERIVED:HEADAMP_CH_SPAN-1	yes	headamp channel probes
libreac	python/test_libreac.py:215	(16, 32)	PLACEMENT(in_ch)	yes	widths without identity record
libreac	src/pcap_source.c:84	18, 0x81, 0x00	NEW:VLAN_TPID=0x8100	no	IEEE 802.1Q TPID; REAC segments may be VLAN-tagged (1.5.0 note)
libreac	src/pcap_source.c:86	0x0fff	NEW:VLAN_VID_MASK	no	802.1Q VID mask; Ethernet not REAC-specific
libreac	src/pcap_source.c:87	12, 16, 4	NEW:VLAN_TAG_LEN=4	no	tag strip; generic 802.1Q
libreac	src/reac.c:13	44100, 40, 12	NEW:SAMPLE_RATE_44K1 / MAX_CHANNELS / SAMPLES_PER_PKT	no	REAC_MODE_44K1 literal row; 40,12 bypass macros; ref wire-format.md
libreac	src/reac.c:14	48000, 40, 12	NEW:SAMPLE_RATE_48K / MAX_CHANNELS / SAMPLES_PER_PKT	no	REAC_MODE_48K literal row
libreac	src/reac.c:15	96000, 40, 12	NEW:SAMPLE_RATE_96K / MAX_CHANNELS / SAMPLES_PER_PKT	no	REAC_MODE_96K literal row; 96k = double pps per wire-format.md
libreac	src/reac.c:19	96000	NEW:SAMPLE_RATE_96K	no	reac_mode_for rate compare
libreac	src/reac.c:20	44100	NEW:SAMPLE_RATE_44K1	no	reac_mode_for rate compare
libreac	src/reac.c:27	3837.5, 44100	DERIVED:mid(NEW:PKT_RATE_44K1,NEW:PKT_RATE_48K)	derived	snap threshold midpoint 3675/4000; rate literal
libreac	src/reac.c:28	6000.0, 48000	DERIVED:mid(NEW:PKT_RATE_48K,NEW:PKT_RATE_96K)	derived	snap threshold midpoint 4000/8000
libreac	src/reac.c:29	96000	NEW:SAMPLE_RATE_96K	no	snap result
libreac	src/reac.c:39	8000, 1	NEW:PKT_RATE_96K / NEW:PACE_CODE_96K	no	pace code band; code 1=96k (cfea[19]); YAML CONSOLE_FIELD_GATES_RATE prose only
libreac	src/reac.c:40	3700, 2	DERIVED:~NEW:PKT_RATE_44K1 / NEW:PACE_CODE_44K1	no	3700 band edge near 3675; code 2=44.1k
libreac	src/reac.c:41	0	NEW:PACE_CODE_48K	no	code 0=48k
libreac	src/reac.c:46	14	DERIVED:HDR_COUNTER_OFF (Ethernet header len)	derived	min REAC frame len check
libreac	src/reac.c:48	0x88, 0x19	ETHERTYPE	yes	ethertype split into bytes, bypasses REAC_ETHERTYPE
libreac	src/reac.c:67	REAC_UPSTREAM_OVERHEAD + 2	NOT-PROTOCOL:FCS_RESIDUE_LEN (capture artefact)	no	+2 FCS residue; reac.h:31-58 says NOT a protocol field
libreac	src/reac_boxreg.c:55	2, & 1	NEW:BOX_WIDTH_EVEN_MIN2	no	even width 2..40 rule; duplicate of reac_ctrlblk.c:893
libreac	src/reac_box_synth.c:27	32	CTRL_BLOCK_LEN	yes	private BLK
libreac	src/reac_box_synth.c:36	256u	CTRL_BLOCK_SUM	yes	block checksum rule re-implemented (dup of reac_ctrl_block_cksum_stamp)
libreac	src/reac_box_synth.c:45	128u, 0x7f	CTRL_RECORD_SUM	yes	Roland 7-bit checksum re-implemented, differs from reac_ctrlblk.c:60 (0xff mask)
libreac	src/reac_box_synth.c:55	+ 5u	DERIVED:HDR_OPCODE_OFF+1 (len counts from block[4])	derived	CTRL_RECLEN_BASE; 5 = block[4..8] before sysex
libreac	src/reac_box_synth.c:56	0x04	LINK_RECORD	yes	open-coded link
libreac	src/reac_box_synth.c:60	0x00,0x02,0x00,0xfe	NEW:DT1_CONTAINER_PREAMBLE (block[4:8]=00 02 00 fe)	no	container header before SysEx; captured
libreac	src/reac_box_synth.c:61	out[8]	NEW:DT1_SYSEX_LEN_OFF=8	no	sysex length position
libreac	src/reac_box_synth.c:62	0xf0	NEW:SYSEX_START	no	SysEx start at block[9]
libreac	src/reac_box_synth.c:63	0x41	NEW:ROLAND_MFR_ID	no	Roland manufacturer id
libreac	src/reac_box_synth.c:64	0x0a	NEW:DT1_DEVICE_ID	no	device id byte
libreac	src/reac_box_synth.c:65	0x00, 0x00	NEW:DT1_MODEL_ID_HI	no	model id high bytes block[12:14]
libreac	src/reac_box_synth.c:66	0x12, 0x12	NEW:DT1_MODEL_ID_LO / NEW:DT1_CMD_DT1	no	bypasses REAC_DT1_MODEL_LO/REAC_DT1_CMD_DT1 macros
libreac	src/reac_box_synth.c:67	out[16..19]	NEW:DT1_TAG_OFF=16 / NEW:DT1_ADDR_LO_OFF=18	no	positions open-coded
libreac	src/reac_box_synth.c:78	JOIN_0014/JOIN_0013 arrays	fixture data	no	duplicates BOX_MODELS cc0014/cc0013 captured blocks
libreac	src/reac_box_synth.c:103	0x01, 0x03, 0x00, 0x10	LINK_CONTROL, SEG_SINGLE, NEW:LEN_SUB_DECLARATION=0x10	no	config-announce header; length 16 undeclared (commit-report len LEN_SUB_COMMIT_REPORT=16)
libreac	src/reac_box_synth.c:105	out[5], out[6]	NEW:CONFIG_ANNOUNCE_RESERVED_5_6 (zero)	no	block[5:7] zero
libreac	src/reac_box_synth.c:106	out[7]	NEW:HEADAMP_BASE_OFF=7	no	strap byte position; YAML has HEADAMP_BASE_FROM_CONFIG_BYTE7 flag=1 not the offset
libreac	src/reac_box_synth.c:135	0x03, 7u + 4u + ... + 2u	SEG_SINGLE / NEW:DT1_SYSEX_OVERHEAD	no	sysex len = 7 preamble+cmd, 4 addr, data, 2 cksum+f7
libreac	src/reac_box_synth.c:136	20	NEW:DT1_PAYLOAD_OFF=20	no	payload position
libreac	src/reac_box_synth.c:137	16, 4u	NEW:DT1_TAG_OFF / IDENTITY_ADDR_BYTES	no	record checksum span start + addr bytes (4 = IDENTITY_ADDR_BYTES)
libreac	src/reac_box_synth.c:138	0xf7	NEW:SYSEX_END	no	SysEx terminator
libreac	src/reac_box_synth.c:147	d[4], 9999, 1000,100,10	NEW:IDENTITY_FIRMWARE_BYTES=4	no	firmware version 4 decimal digits (YAML prose on IDENTITY_ADDR_FIRMWARE_VERSION)
libreac	src/reac_box_synth.c:154	4	NEW:IDENTITY_FIRMWARE_BYTES	no	firmware body length
libreac	src/reac_box_synth.c:174	0x01	NEW:IDENTITY_NAME_KIND	no	name_kind byte; YAML prose on IDENTITY_ADDR_MODEL_NAME "0x01 on every observation"
libreac	src/reac_box_synth.c:175	16	IDENTITY_NAME_FIELD_BYTES	yes	private NAME_LEN copy
libreac	src/reac_box_synth.c:176	10	NEW:IDENTITY_NAME_IN_FIRST=10	no	name bytes carried in 0x0401 FIRST fragment
libreac	src/reac_box_synth.c:191	0x01, 7u + 4u + 1u	SEG_FIRST_BIT / NEW:DT1_SYSEX_OVERHEAD	no	FIRST fragment framing
libreac	src/reac_box_synth.c:193	out[20]	NEW:DT1_PAYLOAD_OFF	no	literal 20/21
libreac	src/reac_box_synth.c:201	4 + 1	IDENTITY_ADDR_BYTES + NEW:IDENTITY_NAME_KIND len	no	record = addr(4)+kind(1)+name
libreac	src/reac_box_synth.c:212	0x04, 0x02	LINK_RECORD, SEG_LAST_BIT	yes	open-coded
libreac	src/reac_box_synth.c:213	2u + 5u	DERIVED:cksum+f7 + CTRL_RECLEN_BASE span	derived	LAST fragment length
libreac	src/reac_box_synth.c:214	0x00,0x02,0x00,0xfe	NEW:DT1_CONTAINER_PREAMBLE	no	duplicate of line 60
libreac	src/reac_box_synth.c:215	2u	DERIVED:cksum+SYSEX_END	derived	sysex len of LAST fragment
libreac	src/reac_box_synth.c:216	9	NEW:DT1_SYSEX_OFF	no	LAST fragment body at block[9]
libreac	src/reac_box_synth.c:217	out[15]	NEW:DT1_LAST_CKSUM_OFF	no	derived from 9+6
libreac	src/reac_box_synth.c:218	0xf7	NEW:SYSEX_END	no	
libreac	src/reac_box_synth.c:224	out[32]	CTRL_BLOCK_LEN	yes	param array dim
libreac	src/reac_box_synth.c:273	2	NEW:BOX_WIDTH_MIN=2	no	0-input box still emits 2-ch upstream; comment lines 268-272
libreac	src/reac_capture.c:21	0x8819	ETHERTYPE	yes	ETH_P_REAC fallback copy (#ifndef)
libreac	src/reac_capture.c:70	14, 0x88, 0x19	ETHERTYPE / DERIVED:HDR_COUNTER_OFF	yes	ethertype bytes open-coded
libreac	src/reac_ctrlblk.c:15	14	DERIVED:HDR_COUNTER_OFF (Ethernet header length)	derived	private ETH_HDR
libreac	src/reac_ctrlblk.c:16	14	HDR_COUNTER_OFF	yes	private CNT_OFF duplicate
libreac	src/reac_ctrlblk.c:17	16	TYPED_BLOCK_OFF	yes	private TYPE_OFF duplicate
libreac	src/reac_ctrlblk.c:18	50	AUDIO_OFFSET	yes	private AUDIO_OFF duplicate
libreac	src/reac_ctrlblk.c:19	0x00	NEW:FILLER_DESC_WORD_HI	no	upstream filler per-slot descriptor 00 7a "observed on the wire"
